dataset,image,psnr_db,ssim,rmse
LC25000,lungaca470.jpeg,17.105180478158445,0.9188855116063545,35.586162413976496
LC25000,lungaca166.jpeg,16.16935661219877,0.9236186651899819,39.634405635682974
LC25000,lungaca83.jpeg,16.662850845665872,0.9330412375671068,37.445327916902556
LC25000,lungaca250.jpeg,15.71020518515125,0.8668693458146105,41.78591545021021
LC25000,lungaca118.jpeg,15.72036996391454,0.9095349466475423,41.73704352470115
LC25000,lungaca317.jpeg,16.550250706296538,0.8504580584040403,37.93391311282886
LC25000,lungaca87.jpeg,17.110423256404243,0.8763223358178469,35.564689188943014
LC25000,lungaca256.jpeg,15.586407434503585,0.9070132859074628,42.38574379957505
LC25000,lungaca238.jpeg,16.2194825006709,0.8556810380019932,39.40633594067612
LC25000,lungaca331.jpeg,16.395269956537476,0.8507833417940146,38.61683554047394
LC25000,lungaca98.jpeg,15.153687699765223,0.8823784577162934,44.550829580993316
LC25000,lungaca187.jpeg,16.62201778735915,0.8447743222019778,37.62177580570897
LC25000,lungaca285.jpeg,16.567156607931224,0.8935892439689229,37.860151722029265
LC25000,lungaca208.jpeg,16.702767212392754,0.8939043595042612,37.273641155599265
LC25000,lungaca72.jpeg,17.160559390662172,0.9018739940972723,35.359996300286866
LC25000,lungaca219.jpeg,15.593905091999925,0.9171203560568109,42.34917222398806
LC25000,lungaca319.jpeg,18.037500996200215,0.9488742167334213,31.964295035807375
LC25000,lungaca207.jpeg,15.52285574277482,0.7944283783290164,42.69700312980782
LC25000,lungaca313.jpeg,17.56361047031512,0.8825258978786886,33.75667456833548
LC25000,lungaca343.jpeg,16.12696859216139,0.9072003316060435,39.828298267348835
LC25000,lungaca164.jpeg,14.940340255696887,0.9171723316150334,45.65866063858529
LC25000,lungaca100.jpeg,15.013761785702307,0.6807694249284305,45.27433616076148
LC25000,lungaca498.jpeg,17.434790575235347,0.8998702795703587,34.261048658529276
LC25000,lungaca28.jpeg,17.548072712206135,0.8988515865189847,33.81711425551889
LC25000,lungaca489.jpeg,16.974609958609868,0.9112281350201528,36.12515195007711
LC25000,lungaca293.jpeg,15.045696947740463,0.8237843753605247,45.108182936303606
LC25000,lungaca111.jpeg,16.608101940921454,0.8679578999841636,37.682098753273564
LC25000,lungaca257.jpeg,15.904546769241314,0.8246648085105126,40.861362323093935
LC25000,lungaca211.jpeg,16.142145372281085,0.924231006174603,39.75876738802339
LC25000,lungaca167.jpeg,17.267382249756484,0.90358180839982,34.927786841523734
LC25000,lungaca103.jpeg,15.707168797726744,0.8996012643518054,41.80052539955602
LC25000,lungaca404.jpeg,16.384246347847892,0.8641708620184102,38.665876818953606
LC25000,lungaca366.jpeg,15.399549867200333,0.9032629865099769,43.307457421636094
LC25000,lungaca4.jpeg,18.207922448632793,0.9336355604456686,31.34325225785334
LC25000,lungaca139.jpeg,16.473468068697496,0.8971366319597798,38.270732704380556
LC25000,lungaca429.jpeg,17.152535484944472,0.9349174341188035,35.392676472317945
LC25000,lungaca236.jpeg,17.250545714831564,0.9168432624451682,34.99555574488115
LC25000,lungaca252.jpeg,17.014612093015913,0.9062614864249349,35.959163117414924
LC25000,lungaca194.jpeg,16.414253540304937,0.9108525531893273,38.53252806681904
LC25000,lungaca69.jpeg,17.13524614394754,0.8374664717074524,35.46319607299411
LC25000,lungaca106.jpeg,18.67424277886747,0.8971563558784528,29.704896361578253
LC25000,lungaca163.jpeg,15.860058966372268,0.8929008774205491,41.071184873908805
LC25000,lungaca477.jpeg,13.363910570938842,0.9014940702906534,54.74502417515491
LC25000,lungaca210.jpeg,18.003493639446653,0.8739161068816101,32.08968828684361
LC25000,lungaca95.jpeg,14.458729343743755,0.8432250965589656,48.26182196688267
LC25000,lungaca430.jpeg,17.757862769605865,0.9070824272591352,33.01011535222392
LC25000,lungaca355.jpeg,16.566620952771387,0.871891691227817,37.862486613653395
LC25000,lungaca73.jpeg,15.319325495802396,0.84084316665679,43.709305463028464
LC25000,lungaca289.jpeg,15.462411031961242,0.8464945621164434,42.99516587926649
LC25000,lungaca271.jpeg,17.79070453846944,0.7512909458308289,32.885538173941505
LC25000,lungaca330.jpeg,16.998979127155796,0.9029061166403745,36.023941116797815
LC25000,lungaca169.jpeg,17.18209570532498,0.909212071832655,35.27243121090867
LC25000,lungaca326.jpeg,15.95220289343159,0.8983148141256726,40.637785698347834
LC25000,lungaca369.jpeg,13.768607936282468,0.8548588424015904,52.252826020040494
LC25000,lungaca217.jpeg,13.972248807255973,0.9077918608576244,51.04200668533112
LC25000,lungaca189.jpeg,14.365950466816361,0.8474626665651753,48.78009672066728
LC25000,lungaca85.jpeg,17.371023369797037,0.8806402532400172,34.51350069874561
LC25000,lungaca410.jpeg,14.024359682889651,0.8913216785786889,50.73669763149411
LC25000,lungaca384.jpeg,15.800783864290743,0.9273908518529909,41.352425435197304
LC25000,lungaca204.jpeg,15.803251514360177,0.8572651065838107,41.340678933004305
LC25000,lungaca458.jpeg,14.690046356485135,0.8165160503267348,46.993507664313036
LC25000,lungaca339.jpeg,16.69028495385662,0.9059357845318282,37.327244610265424
LC25000,lungaca192.jpeg,17.799493098356503,0.9093373050115531,32.85228074533021
LC25000,lungaca448.jpeg,16.007093911560844,0.9253403552500407,40.381782458086064
LC25000,lungaca171.jpeg,15.610720590283355,0.8969249978359976,42.26726540864435
LC25000,lungaca75.jpeg,15.135293358847461,0.914705166540993,44.64527603555547
LC25000,lungaca484.jpeg,17.110845881872503,0.8990758448402275,35.562958775780174
LC25000,lungaca376.jpeg,15.583040538334252,0.9015765991262489,42.4021768958793
LC25000,lungaca420.jpeg,17.744162775131038,0.9374472273619562,33.06222230447031
LC25000,lungaca443.jpeg,16.623626896942042,0.8883420887983043,37.6148068070937
